filename,source,category,vistype,title location,attr: data-ink ratio,attr: # distinct colors,attr: black&white,attr: visual density,attr: human recognizable object,attr: human depiction,data redundancy,message redundancy,illegible,mem: at-a-glance HR (%),mem: prolonged HR (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryB15.png,US Department of the Treasury,G,Points,Top-center,1,1,n,1,n,n,0,1,0,24.72,52.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryD04_3.png,US Department of the Treasury,G,Table,Top-center,1,1,y,1,n,n,0,0,0,33.68,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryD05_1.png,US Department of the Treasury,G,Bars,Top-center,1,2,n,2,n,n,1,1,0,21.74,27.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryD08.png,US Department of the Treasury,G,Table,Top-left,2,1,n,2,n,n,0,0,0,25.64,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG01_2.png,US Department of the Treasury,G,Table,Top-center,1,1,n,1,n,n,0,1,0,34.67,57.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG02_2.png,US Department of the Treasury,G,Bars,Top-center/right,3,3,n,2,n,n,1,1,0,38.2,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG05_1.png,US Department of the Treasury,G,Lines,Top-center/right,1,2,n,2,n,n,0,1,0,23.16,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG06_2.png,US Department of the Treasury,G,Bars,Top-center/right,3,3,n,2,n,n,0,1,0,33.73,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG07_2.png,US Department of the Treasury,G,Lines,Top-center/right,1,2,n,1,n,n,0,1,0,40.96,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryI01_2.png,US Department of the Treasury,G,Lines,Top-center,2,1,n,1,n,n,0,0,0,38.64,73.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryI02_1.png,US Department of the Treasury,G,Bars,Top-center,2,2,n,2,n,n,0,0,0,35.9,57.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK01.png,US Department of the Treasury,G,Diagrams,Top-left,1,1,y,1,n,n,0,0,0,35.87,71.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK03_2.png,US Department of the Treasury,G,Bars,Top-center,2,1,n,2,n,n,1,0,0,69.05,64.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK03_3.png,US Department of the Treasury,G,Bars,Top-center,2,1,n,2,n,n,1,0,0,69.15,61.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK05_1.png,US Department of the Treasury,G,Circles,Top-center,3,2,n,1,n,n,1,0,0,52.27,58.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK06.png,US Department of the Treasury,G,Bars,Top-center,3,2,n,2,n,n,1,0,0,22.47,68.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryL03_2.png,US Department of the Treasury,G,Circles,Top-center,1,3,n,2,n,n,1,0,0,60.22,81.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryL04_1.png,US Department of the Treasury,G,Table,Bottom-center,1,1,n,1,n,n,0,0,0,53.33,86.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryL10_1.png,US Department of the Treasury,G,Table,Bottom-center,1,1,n,1,n,n,0,0,0,49.4,35.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryL11_2.png,US Department of the Treasury,G,Circles,"(title1) top-center, (title2) bottom-center",1,3,n,1,n,n,1,0,0,56.18,70.59,,,,,,,,,,,,,n,1,n,n,56.18,24.49,70.59,1,0,0,,,,,,,,
treasuryL13.png,US Department of the Treasury,G,Table,"(title1) top-center, (title2) bottom-center",1,1,n,1,n,n,0,0,0,56.82,50,,,,,,,,,,,,,Sector:,"2009-2011"",(title1)",top-center,,(title2),bottom-center,1,1,n,1,n,n,56.82,10.1,50,0,0,0
treasuryL16.png,US Department of the Treasury,G,Bars,Bottom-center,1,3,n,2,n,n,1,0,0,20.69,57.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v482_n7386_5_f5.png,Nature,S,Diagrams,none,1,2,n,2,n,n,0,0,0,50.57,90.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v482_n7386_7_f2.png,Nature,S,Diagrams,none,2,2,n,2,n,n,0,0,0,41.18,86.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7387_20_f2.png,Nature,S,Diagrams,none,1,3,n,1,n,n,0,0,0,76.74,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7387_5_f1.png,Nature,S,Lines,none,2,2,n,3,n,n,0,0,0,48.78,88.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7387_7_f4.png,Nature,S,Area,none,3,3,n,3,n,n,0,0,0,44.94,81.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7388_11_f2.png,Nature,S,Bars,none,3,1,y,3,n,n,0,0,0,41.18,68.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7388_14_f3.png,Nature,S,Points,none,2,2,n,1,n,n,0,0,0,71.11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7389_24_f3.png,Nature,S,Diagrams,none,2,2,n,1,n,n,0,0,0,46.59,90.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7390_14_f2.png,Nature,S,Points,none,1,1,y,2,n,n,0,0,0,69.05,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7390_21_f4.png,Nature,S,Diagrams,none,1,2,n,1,n,n,0,0,0,64.52,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7390_8_f1.png,Nature,S,Lines,none,1,2,n,2,n,n,0,1,0,56.32,68.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7391_1_f1.png,Nature,S,Maps,none,3,3,n,1,y,n,0,0,0,58.33,86.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7391_3_f5.png,Nature,S,Diagrams,none,2,1,y,2,y,n,0,0,0,53.85,94.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7391_8_f1.png,Nature,S,Lines,none,1,1,y,1,n,n,0,0,0,59.04,88.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7392_14_f3.png,Nature,S,Trees and Networks,none,1,1,y,1,y,n,0,1,0,80.95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7393_20_f1.png,Nature,S,Diagrams,none,1,3,n,3,n,n,0,0,0,75.58,93.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7393_6_f4.png,Nature,S,Lines,none,1,1,y,2,n,n,0,0,0,53.26,78.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_10_f4.png,Nature,S,Lines,none,2,3,n,3,n,n,0,0,0,44.83,61.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_5_f2.png,Nature,S,Lines,none,1,1,y,1,n,n,0,0,0,32.94,73.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_5_f5.png,Nature,S,Area,none,1,1,y,1,n,n,0,0,0,29.35,55.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_8_f2.png,Nature,S,Points,none,2,1,y,1,n,n,0,0,0,48.42,94.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_8_f4.png,Nature,S,Points,none,1,1,y,1,n,n,0,0,0,60.87,63.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7395_11_f1.png,Nature,S,Maps,none,1,2,n,2,y,n,0,0,0,65.82,82.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7397_14_f3.png,Nature,S,Table,none,1,1,y,1,n,n,0,0,0,42.05,72.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7397_15_f1.png,Nature,S,Trees and Networks,none,2,3,n,1,n,n,0,0,0,45.35,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7397_6_f4.png,Nature,S,Lines,none,2,3,n,2,n,n,0,0,0,62.22,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7399_13_f4.png,Nature,S,Points,none,3,3,n,2,n,n,0,0,0,38.71,86.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7399_9_f2.png,Nature,S,Points,none,1,2,n,2,n,n,0,0,0,43.68,70.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7400_14_f1.png,Nature,S,Maps,none,3,3,n,3,y,n,0,0,0,45.24,81.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7400_14_f2.png,Nature,S,Points,none,3,2,n,3,n,n,0,0,0,24.68,64.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7400_15_f2.png,Nature,S,Bars,none,2,3,n,2,y,n,0,1,0,76.14,93.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7401_8_f1.png,Nature,S,Lines,none,3,3,n,3,n,n,0,0,0,50.55,76.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7401_8_f2.png,Nature,S,Maps,none,3,3,n,1,y,n,0,0,0,58.62,77.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7403_19_f2.png,Nature,S,Grid / Matrix,none,2,2,n,1,n,n,0,0,0,60.67,91.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7403_1_f8.png,Nature,S,Distribution,none,2,2,n,1,n,n,0,0,0,36.59,78.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7404_1_f2.png,Nature,S,Diagrams,none,1,2,n,1,y,n,0,1,0,63.41,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7404_20_f6.png,Nature,S,Points,none,2,1,n,2,n,n,0,0,0,34.38,76.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7404_6_f1.png,Nature,S,Grid / Matrix,none,1,2,n,1,n,n,0,0,0,82.8,93.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7404_9_f2.png,Nature,S,Lines,none,3,3,n,2,n,n,0,0,0,36.56,47.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7405_21_f2.png,Nature,S,Lines,none,2,2,n,2,n,n,0,0,0,54.22,93.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
