category;vistype;attr: data-ink ratio;attr: # distinct colors;attr: visual density;attr: human recognizable object;mem: at-a-glance HR (%)
1;8;2;1;2;0;48.86
1;7;2;2;1;0;34.15
1;1;2;2;1;1;79.49
1;7;2;2;1;0;36.78
1;7;1;3;1;0;68.97
1;4;1;1;1;0;43.68
1;3;2;3;1;0;31.52
1;4;2;2;2;0;28.41
1;4;2;2;2;0;31.76
1;0;1;1;1;0;40.48
1;4;2;2;2;0;40.23
1;0;2;2;1;0;42.86
1;1;1;2;1;1;59.3
1;0;1;1;1;0;32.18
1;0;1;1;1;0;44.44
1;7;1;1;1;0;48.28
1;0;1;2;1;0;38.2
1;4;2;1;1;0;46.67
1;4;1;1;2;0;41.3
1;4;2;1;1;0;34.88
1;3;1;1;1;0;36.9
1;0;1;1;1;0;38.54
1;3;2;1;1;0;31.03
1;0;1;1;1;0;38.14
1;5;2;1;1;0;51.69
1;0;2;1;1;0;28.09
1;1;1;1;1;1;42.68
1;5;2;1;1;0;23.53
1;0;2;1;2;0;52.17
1;0;1;1;1;0;70.45
1;2;2;1;1;0;63.33
1;2;1;1;1;0;54.44
1;3;1;1;1;0;54.65
1;0;1;1;1;0;38.55
1;0;1;1;1;0;52.38
1;2;2;1;1;0;50
0;1;2;2;2;1;72.94
0;7;1;1;2;1;81.4
0;3;2;2;1;0;51.09
0;0;1;1;1;0;50
0;7;1;2;3;1;55.81
0;0;3;3;3;1;72.94
0;0;1;2;2;0;58.62
0;1;1;2;1;1;62.79
0;7;1;3;2;1;71.26
0;0;2;2;3;1;79.57
0;3;2;2;2;0;60.67
0;3;2;1;2;0;52.38
0;0;1;2;2;0;58.54
0;0;1;1;2;0;67.9
0;3;3;2;3;1;49.43
0;3;2;3;2;1;73.91
0;8;2;2;3;1;66.67
0;7;1;3;3;1;59.34
0;0;1;1;1;0;62.22
0;0;3;3;3;1;63.22
0;4;2;2;2;1;86.52
0;4;2;2;1;1;65.12
0;3;3;2;2;1;33.73
0;3;2;2;2;0;72.41
0;0;3;3;3;1;80.46
0;3;1;2;2;1;74.7
0;0;2;2;2;0;65.12
0;0;2;2;2;0;40.43
0;0;1;1;2;0;34.88
0;2;2;2;2;0;55.06
0;0;2;2;2;0;63.95
0;5;2;2;2;0;58.06
0;7;1;2;2;1;67.42
0;0;2;3;3;1;76.54
0;0;1;2;1;0;62.65
0;3;2;2;3;1;59.77
0;8;2;2;2;0;68.18
0;3;3;2;2;0;67.42
0;0;2;1;2;0;53.33
0;2;2;2;1;0;78.41
0;3;2;1;2;0;68.83
0;3;2;2;2;0;45.98
0;1;2;2;1;1;71.43
0;0;2;1;2;0;36.17
0;1;1;2;1;1;63.64
0;8;2;3;2;0;49.45
0;0;1;1;1;0;71.43
0;4;3;3;1;1;67.06
0;3;2;2;2;0;55
0;1;2;2;2;1;66.25
0;3;2;2;2;1;77.66
0;0;2;1;1;0;53.26
0;0;1;2;1;0;67.03
0;5;2;2;2;0;40.86
0;0;3;3;3;1;80.52
0;3;1;2;1;0;74.16
0;5;2;2;2;0;48.15
0;0;1;2;2;0;50
0;0;3;3;2;1;74.07
0;5;3;2;3;1;66.28
0;7;1;2;1;0;54.32
0;0;1;2;1;0;55.17
0;3;2;2;2;0;67.78
0;4;2;2;1;1;56.67
0;0;1;2;1;0;56.1
0;1;1;2;2;1;66.3
