filename,source,category,vistype,title location,attr: data-ink ratio,attr: # distinct colors,attr: black&white,attr: visual density,attr: human recognizable object,attr: human depiction,mem: at-a-glance HR (%),mem: at-a-glance FAR (%),mem: prolonged HR (%),data redundancy,message redundancy,illegible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG01_2.png,US Department of the Treasury,G,Table,Top-center,1,1,n,1,n,n,34.67,5.81,57.14,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG02_2.png,US Department of the Treasury,G,Bars,Top-center/right,3,3,n,2,n,n,38.2,6.67,37.5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG05_1.png,US Department of the Treasury,G,Lines,Top-center/right,1,2,n,2,n,n,23.16,19.19,31.25,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG06_2.png,US Department of the Treasury,G,Bars,Top-center/right,3,3,n,2,n,n,33.73,6.12,75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryG07_2.png,US Department of the Treasury,G,Lines,Top-center/right,1,2,n,1,n,n,40.96,13.13,78.57,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryI01_2.png,US Department of the Treasury,G,Lines,Top-center,2,1,n,1,n,n,38.64,21.78,73.68,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryI02_1.png,US Department of the Treasury,G,Bars,Top-center,2,2,n,2,n,n,35.9,10.23,57.89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK01.png,US Department of the Treasury,G,Diagrams,Top-left,1,1,y,1,n,n,35.87,7.22,71.43,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK03_2.png,US Department of the Treasury,G,Bars,Top-center,2,1,n,2,n,n,69.05,35.11,64.71,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK03_3.png,US Department of the Treasury,G,Bars,Top-center,2,1,n,2,n,n,69.15,38.61,61.11,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK05_1.png,US Department of the Treasury,G,Circles,Top-center,3,2,n,1,n,n,52.27,9.09,58.82,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryK06.png,US Department of the Treasury,G,Bars,Top-center,3,2,n,2,n,n,22.47,3.96,68.75,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryL03_2.png,US Department of the Treasury,G,Circles,Top-center,1,3,n,2,n,n,60.22,20.79,81.25,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryL04_1.png,US Department of the Treasury,G,Table,Bottom-center,1,1,n,1,n,n,53.33,19.61,86.67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryL10_1.png,US Department of the Treasury,G,Table,Bottom-center,1,1,n,1,n,n,49.4,34.69,35.29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryL11_2.png,US Department of the Treasury,G,Circles,"(title1) top-center, (title2) bottom-center",1,3,n,1,n,n,56.18,24.49,70.59,1,0,0,,,,,,,,,,,,,n,1,n,n,56.18,24.49,70.59,1,0,0,,,,,,,,
treasuryL13.png,US Department of the Treasury,G,Table,"(title1) top-center, (title2) bottom-center",1,1,n,1,n,n,56.82,10.1,50,0,0,0,,,,,,,,,,,,,Sector:,"2009-2011"",(title1)",top-center,,(title2),bottom-center,1,1,n,1,n,n,56.82,10.1,50,0,0,0
treasuryL16.png,US Department of the Treasury,G,Bars,Bottom-center,1,3,n,2,n,n,20.69,3.09,57.14,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v482_n7386_5_f5.png,Nature,S,Diagrams,none,1,2,n,2,n,n,50.57,16.16,90.48,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v482_n7386_7_f2.png,Nature,S,Diagrams,none,2,2,n,2,n,n,41.18,2.11,86.67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7387_20_f2.png,Nature,S,Diagrams,none,1,3,n,1,n,n,76.74,34.65,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7387_5_f1.png,Nature,S,Lines,none,2,2,n,3,n,n,48.78,26.32,88.24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7387_7_f4.png,Nature,S,Area,none,3,3,n,3,n,n,44.94,3.92,81.25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7388_11_f2.png,Nature,S,Bars,none,3,1,y,3,n,n,41.18,4.26,68.42,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7388_14_f3.png,Nature,S,Points,none,2,2,n,1,n,n,71.11,8.65,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7389_24_f3.png,Nature,S,Diagrams,none,2,2,n,1,n,n,46.59,12,90.91,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7390_14_f2.png,Nature,S,Points,none,1,1,y,2,n,n,69.05,25,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7390_21_f4.png,Nature,S,Diagrams,none,1,2,n,1,n,n,64.52,5.05,87.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7390_8_f1.png,Nature,S,Lines,none,1,2,n,2,n,n,56.32,5.1,68.42,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7391_1_f1.png,Nature,S,Maps,none,3,3,n,1,y,n,58.33,4.17,86.67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7391_3_f5.png,Nature,S,Diagrams,none,2,1,y,2,y,n,53.85,3.06,94.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v483_n7391_8_f1.png,Nature,S,Lines,none,1,1,y,1,n,n,59.04,10.87,88.89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7392_14_f3.png,Nature,S,Trees and Networks,none,1,1,y,1,y,n,80.95,1.04,100,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7393_20_f1.png,Nature,S,Diagrams,none,1,3,n,3,n,n,75.58,26.37,93.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
